username,repo_name,stars,repo_url
mrdoob,three.js,91600,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,22500,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,21500,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,20600,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,16900,https://github.com/ssloy/tinyrenderer
aframevr,aframe,15300,https://github.com/aframevr/aframe
lettier,3d-game-shaders-for-beginners,15200,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,14000,https://github.com/FreeCAD/FreeCAD
CesiumGS,cesium,10400,https://github.com/CesiumGS/cesium
metafizzy,zdog,9700,https://github.com/metafizzy/zdog
timzhang642,3D-Machine-Learning,8900,https://github.com/timzhang642/3D-Machine-Learning
isl-org,Open3D,8700,https://github.com/isl-org/Open3D
blender,blender,8400,https://github.com/blender/blender
a1studmuffin,SpaceshipGenerator,7400,https://github.com/a1studmuffin/SpaceshipGenerator
domlysz,BlenderGIS,6300,https://github.com/domlysz/BlenderGIS
FyroxEngine,Fyrox,6100,https://github.com/FyroxEngine/Fyrox
openscad,openscad,5600,https://github.com/openscad/openscad
google,model-viewer,5600,https://github.com/google/model-viewer
spritejs,spritejs,5200,https://github.com/spritejs/spritejs
nerfstudio-project,nerfstudio,5000,https://github.com/nerfstudio-project/nerfstudio
