username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,37000,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,23900,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,21100,https://github.com/refined-github/refined-github
darkreader,darkreader,16600,https://github.com/darkreader/darkreader
yetone,openai-translator,15800,https://github.com/yetone/openai-translator
checkly,headless-recorder,14800,https://github.com/checkly/headless-recorder
unbug,codelf,13600,https://github.com/unbug/codelf
wong2,chatgpt-google-extension,13000,https://github.com/wong2/chatgpt-google-extension
dailydotdev,daily,12700,https://github.com/dailydotdev/daily
Anarios,return-youtube-dislike,11100,https://github.com/Anarios/return-youtube-dislike
gildas-lormeau,SingleFile,11000,https://github.com/gildas-lormeau/SingleFile
crimx,ext-saladict,10700,https://github.com/crimx/ext-saladict
listen1,listen1_chrome_extension,10100,https://github.com/listen1/listen1_chrome_extension
alyssaxuu,screenity,8200,https://github.com/alyssaxuu/screenity
appbaseio,dejavu,8100,https://github.com/appbaseio/dejavu
josStorer,chatGPTBox,7600,https://github.com/josStorer/chatGPTBox
Kenshin,simpread,7100,https://github.com/Kenshin/simpread
ajayyy,SponsorBlock,6900,https://github.com/ajayyy/SponsorBlock
AutomaApp,automa,6800,https://github.com/AutomaApp/automa
alyssaxuu,omni,6300,https://github.com/alyssaxuu/omni
